,Month,Price
231,Apr-09,168.7959054
232,May-09,180.0702121
233,Jun-09,179.3937946
234,Jul-09,151.8002554
235,Aug-09,152.0362942
236,Sep-09,150.592793
237,Oct-09,167.2791214
238,Nov-09,171.6868545
239,Dec-09,164.6128196
240,Jan-10,167.3356308
241,Feb-10,161.9069613
242,Mar-10,158.9277694
243,Apr-10,157.2666427
244,May-10,163.2403005
245,Jun-10,152.8739339
246,Jul-10,163.9217456
247,Aug-10,175.6001304
248,Sep-10,205.8395204
249,Oct-10,235.703123
250,Nov-10,238.2367488
251,Dec-10,250.6255509
252,Jan-11,265.285524
253,Feb-11,293.396797
254,Mar-11,290.4347217
255,Apr-11,318.938776
256,May-11,308.5752214
257,Jun-11,310.5364743
258,Jul-11,300.8322095
259,Aug-11,310.3071116
260,Sep-11,296.2994964
261,Oct-11,274.846376
262,Nov-11,274.2783489
263,Dec-11,258.5179405
264,Jan-12,272.9201455
265,Feb-12,279.5143214
266,Mar-12,280.715052
267,Apr-12,274.2192966
268,May-12,268.8849036
269,Jun-12,267.3289218
270,Jul-12,332.9988526
271,Aug-12,332.2334953
272,Sep-12,320.7059056
273,Oct-12,321.3824173
274,Nov-12,321.5968705
275,Dec-12,308.7504006
276,Jan-13,303.3602112
277,Feb-13,302.6103405
278,Mar-13,309.5792051
279,Apr-13,279.7648464
280,May-13,295.368975
281,Jun-13,297.1119132
282,Jul-13,279.0132714
283,Aug-13,234.9387661
284,Sep-13,207.4901734
285,Oct-13,201.7799929
286,Nov-13,199.1824442
287,Dec-13,197.5534486
288,Jan-14,198.7719886
289,Feb-14,209.3560195
290,Mar-14,222.3929172
291,Apr-14,222.4304107
292,May-14,216.975101
293,Jun-14,202.633823
294,Jul-14,182.2945163
295,Aug-14,176.4820806
296,Sep-14,163.1343813
297,Oct-14,163.3780893
298,Nov-14,178.7085351
299,Dec-14,178.7129461
300,Jan-15,174.7948714
301,Feb-15,173.7588658
302,Mar-15,174.2938214
303,Apr-15,172.151577
304,May-15,166.3503895
305,Jun-15,166.8138607
306,Jul-15,179.6085304
307,Aug-15,162.7406991
308,Sep-15,166.077624
309,Oct-15,171.4485732
310,Nov-15,166.0924241
311,Dec-15,164.0044018
312,Jan-16,161.0988769
313,Feb-16,159.7168454
314,Mar-16,159.2265321
315,Apr-16,164.4654019
316,May-16,169.0021199
317,Jun-16,179.9127393
318,Jul-16,161.8230448
319,Aug-16,150.2154124
320,Sep-16,148.5119017
321,Oct-16,152.617444
322,Nov-16,151.3314157
323,Dec-16,152.7299247
324,Jan-17,160.012107
325,Feb-17,162.9625359
326,Mar-17,158.9791193
327,Apr-17,156.5404521
328,May-17,158.6002196
329,Jun-17,157.9739071
330,Jul-17,157.6106459
331,Aug-17,148.5434304
332,Sep-17,147.3158579
333,Oct-17,148.7223768
334,Nov-17,148.7921659
335,Dec-17,149.0874275
336,Jan-18,155.9168753
337,Feb-18,163.4609697
338,Mar-18,172.07659
339,Apr-18,175.6009825
340,May-18,179.1790589
341,Jun-18,165.1402855
342,Jul-18,156.5542655
343,Aug-18,162.5222585
344,Sep-18,154.9450034
345,Oct-18,160.3655651
346,Nov-18,160.8782077
347,Dec-18,167.4898806
348,Jan-19,166.8462415
349,Feb-19,169.6562835
350,Mar-19,166.321332
351,Apr-19,161.6533866
352,May-19,171.1801536
353,Jun-19,195.1679223
354,Jul-19,189.4863732
355,Aug-19,163.6286143
356,Sep-19,157.3744366
357,Oct-19,167.2977941
358,Nov-19,166.3617855
359,Dec-19,167.0590173
360,Jan-20,171.8141352
361,Feb-20,168.7445985
362,Mar-20,162.1791482
363,Apr-20,147.0121602
364,May-20,143.9892438
365,Jun-20,148.0423804
366,Jul-20,152.5876196
367,Aug-20,149.3929998
368,Sep-20,166.6025335
369,Oct-20,186.7663875
370,Nov-20,190.6250376
371,Dec-20,199.1844175
